117269,329.8,2.7e-8,0.0027,26.09,1.42
117833,338.7,2.5e-8,0.0026,26.04,1.42
118393,347.8,2.3e-8,0.0025,26,1.42
118950,357,2.1e-8,0.0024,25.96,1.42
119505,366.4,1.9e-8,0.0023,25.91,1.42
120056,375.8,1.8e-8,0.0022,25.87,1.42
120603,383.6,1.7e-8,0.0021,25.83,1.42
121148,391.5,1.6e-8,0.002,25.79,1.42
121690,399.2,1.5e-8,0.0019,25.75,1.42
122229,407,1.4e-8,0.0019,25.71,1.42
122764,414.7,1.3e-8,0.0018,25.67,1.42
123297,422.4,1.3e-8,0.0017,25.63,1.42
123827,430,1.2e-8,0.0017,25.59,1.42
124353,437.5,1.1e-8,0.0016,25.55,1.42
124877,445,1.1e-8,0.0016,25.52,1.42
125397,452.3,1.0e-8,0.0015,25.48,1.42
125915,459.7,9.7e-9,0.0015,25.44,1.42
126430,466.9,9.3e-9,0.0014,25.41,1.42
126941,474.1,8.8e-9,0.0014,25.37,1.42
127450,481.1,8.4e-9,0.0013,25.34,1.42
127956,488.1,8.1e-9,0.0013,25.3,1.42
128458,495,7.7e-9,0.0013,25.27,1.42
128958,501.8,7.4e-9,0.0012,25.23,1.42
129455,508.5,7.1e-9,0.0012,25.2,1.42
129949,515.2,6.8e-9,0.0012,25.17,1.42
130440,521.7,6.5e-9,0.0011,25.13,1.42
130928,528.1,6.3e-9,0.0011,25.1,1.42
131413,534.5,6.0e-9,0.0011,25.07,1.42
131895,540.7,5.8e-9,0.001,25.04,1.42
132374,546.9,5.6e-9,0.001,25.01,1.42
132851,552.9,5.4e-9,9.9e-4,24.98,1.42
133324,558.8,5.2e-9,9.7e-4,24.95,1.42
133795,564.7,5.0e-9,9.4e-4,24.92,1.42
134263,570.4,4.8e-9,9.2e-4,24.89,1.42
134727,576.1,4.7e-9,9.0e-4,24.86,1.42
135189,581.6,4.5e-9,8.8e-4,24.83,1.42
135649,587.1,4.4e-9,8.6e-4,24.8,1.42
136105,592.4,4.2e-9,8.4e-4,24.77,1.42
136558,597.7,4.1e-9,8.2e-4,24.74,1.42
137009,602.9,4.0e-9,8.1e-4,24.72,1.42
137457,607.9,3.9e-9,7.9e-4,24.69,1.42
137901,612.9,3.7e-9,7.7e-4,24.66,1.42
138343,617.8,3.6e-9,7.6e-4,24.63,1.42
138783,622.6,3.5e-9,7.4e-4,24.61,1.43
139219,627.3,3.4e-9,7.3e-4,24.58,1.43
139653,631.9,3.3e-9,7.1e-4,24.56,1.43
140084,636.4,3.2e-9,7.0e-4,24.53,1.43
140512,640.9,3.2e-9,6.9e-4,24.5,1.43
140937,645.2,3.1e-9,6.7e-4,24.48,1.43
141359,649.5,3.0e-9,6.6e-4,24.45,1.43
141779,653.6,2.9e-9,6.5e-4,24.43,1.43
142196,657.7,2.8e-9,6.4e-4,24.41,1.43
142610,661.8,2.8e-9,6.3e-4,24.38,1.43
143022,665.7,2.7e-9,6.2e-4,24.36,1.43
143430,669.5,2.6e-9,6.1e-4,24.33,1.43
143836,673.3,2.6e-9,6.0e-4,24.31,1.43
144240,677,2.5e-9,5.9e-4,24.29,1.43
144640,680.6,2.5e-9,5.8e-4,24.26,1.43
145038,684.2,2.4e-9,5.7e-4,24.24,1.43
145433,687.7,2.4e-9,5.6e-4,24.22,1.43
145825,691.1,2.3e-9,5.5e-4,24.2,1.43
146215,694.4,2.3e-9,5.4e-4,24.17,1.43
146602,697.7,2.2e-9,5.3e-4,24.15,1.43
146986,700.9,2.2e-9,5.3e-4,24.13,1.43
147368,704,2.1e-9,5.2e-4,24.11,1.43
147747,707.1,2.1e-9,5.1e-4,24.09,1.43
148123,710.1,2.0e-9,5.0e-4,24.07,1.43
148497,713.1,2.0e-9,5.0e-4,24.04,1.43
148868,716,2.0e-9,4.9e-4,24.02,1.43
149236,718.8,1.9e-9,4.8e-4,24,1.43
149602,721.6,1.9e-9,4.8e-4,23.98,1.43
149965,724.3,1.9e-9,4.7e-4,23.96,1.43
150326,727,1.8e-9,4.6e-4,23.94,1.43
150684,729.6,1.8e-9,4.6e-4,23.92,1.43
151039,732.2,1.8e-9,4.5e-4,23.9,1.43
151391,734.7,1.7e-9,4.5e-4,23.88,1.43
151742,737.2,1.7e-9,4.4e-4,23.87,1.43
152089,739.6,1.7e-9,4.3e-4,23.85,1.43
152434,741.9,1.7e-9,4.3e-4,23.83,1.43
152776,744.3,1.6e-9,4.2e-4,23.81,1.43
153116,746.5,1.6e-9,4.2e-4,23.79,1.43
153453,748.8,1.6e-9,4.1e-4,23.77,1.43
153788,751,1.6e-9,4.1e-4,23.75,1.43
154120,753.1,1.5e-9,4.0e-4,23.74,1.43
154450,755.2,1.5e-9,4.0e-4,23.72,1.43
154777,757.3,1.5e-9,3.9e-4,23.7,1.43
155102,759.3,1.5e-9,3.9e-4,23.68,1.43
155424,761.3,1.4e-9,3.9e-4,23.67,1.43
155743,763.3,1.4e-9,3.8e-4,23.65,1.43
156061,765.2,1.4e-9,3.8e-4,23.63,1.43
156375,767.1,1.4e-9,3.7e-4,23.61,1.43
156687,768.9,1.4e-9,3.7e-4,23.6,1.43
156997,770.8,1.3e-9,3.7e-4,23.58,1.43
157304,772.5,1.3e-9,3.6e-4,23.57,1.44
157609,774.3,1.3e-9,3.6e-4,23.55,1.44
157911,776,1.3e-9,3.5e-4,23.53,1.44
158211,777.7,1.3e-9,3.5e-4,23.52,1.44
158509,779.4,1.3e-9,3.5e-4,23.5,1.44
158804,781,1.2e-9,3.4e-4,23.49,1.44
159096,782.6,1.2e-9,3.4e-4,23.47,1.44
159386,784.2,1.2e-9,3.4e-4,23.45,1.44
159674,785.8,1.2e-9,3.3e-4,23.44,1.44
159960,787.3,1.2e-9,3.3e-4,23.42,1.44
160243,788.8,1.2e-9,3.3e-4,23.41,1.44
160523,790.3,1.2e-9,3.3e-4,23.4,1.44
160801,791.8,1.1e-9,3.2e-4,23.38,1.44
161077,793.2,1.1e-9,3.2e-4,23.37,1.44
161351,794.6,1.1e-9,3.2e-4,23.35,1.44
161622,796,1.1e-9,3.1e-4,23.34,1.44
161891,797.4,1.1e-9,3.1e-4,23.32,1.44
162157,798.7,1.1e-9,3.1e-4,23.31,1.44
162422,800.1,1.1e-9,3.1e-4,23.3,1.44
162684,801.4,1.1e-9,3.0e-4,23.28,1.44
162943,802.7,1.0e-9,3.0e-4,23.27,1.44
163200,803.9,1.0e-9,3.0e-4,23.26,1.44
163455,805.2,1.0e-9,3.0e-4,23.24,1.44
163708,806.4,1.0e-9,2.9e-4,23.23,1.44
163959,807.6,1.0e-9,2.9e-4,23.22,1.44
164207,808.8,9.9e-10,2.9e-4,23.2,1.44
164453,810,9.8e-10,2.9e-4,23.19,1.44
164696,811.2,9.7e-10,2.8e-4,23.18,1.44
164938,812.3,9.6e-10,2.8e-4,23.17,1.44
165177,813.4,9.6e-10,2.8e-4,23.15,1.44
165414,814.6,9.5e-10,2.8e-4,23.14,1.44
165649,815.7,9.4e-10,2.8e-4,23.13,1.44
165881,816.8,9.3e-10,2.7e-4,23.12,1.44
166112,817.8,9.2e-10,2.7e-4,23.11,1.44
